Month,state,median_listing_price,active_listing_count,new_listing_count,price_increased_count,average_listing_price,total_listing_count
20-Jul,north dakota,239900,2899,940,40,280780.4042,4256
20-Jul,north carolina,340000,27877,12240,1680,470067.4412,50888
20-Jul,ohio,222450,17433,10856,524,306125.6859,42019
20-Jul,missouri,229900,14862,6796,468,315212.9468,29556
20-Jul,district of columbia,697162.5,1426,1016,28,1036663.592,1825
20-Jul,kentucky,239450,8323,3692,184,320294.526,18041
20-Jul,south dakota,258900,3301,1112,36,331976.3145,4237
20-Jul,oregon,454000,10216,6016,2040,607390.6484,22164
20-Jul,maine,299000,5500,2196,72,447263.9155,6796
20-Jul,maryland,367000,11185,6824,668,509738.8729,15178
